Categoría: Todas las categorías

Semana,callao: (Finlandia)
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,39
2015-09-13,37
2015-09-20,37
2015-09-27,0
2015-10-04,76
2015-10-11,0
2015-10-18,0
2015-10-25,74
2015-11-01,0
2015-11-08,37
2015-11-15,0
2015-11-22,0
2015-11-29,37
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,41
2016-01-10,40
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,39
2016-02-14,40
2016-02-21,81
2016-02-28,0
2016-03-06,39
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,41
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,46
2016-07-24,46
2016-07-31,0
2016-08-07,44
2016-08-14,0
2016-08-21,43
2016-08-28,0
2016-09-04,42
2016-09-11,0
2016-09-18,41
2016-09-25,41
2016-10-02,0
2016-10-09,42
2016-10-16,43
2016-10-23,83
2016-10-30,0
2016-11-06,40
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,40
2016-12-11,78
2016-12-18,0
2016-12-25,0
2017-01-01,40
2017-01-08,57
2017-01-15,0
2017-01-22,76
2017-01-29,0
2017-02-05,0
2017-02-12,39
2017-02-19,0
2017-02-26,0
2017-03-05,38
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,75
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,39
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,40
2017-06-04,0
2017-06-11,40
2017-06-18,0
2017-06-25,40
2017-07-02,0
2017-07-09,0
2017-07-16,40
2017-07-23,0
2017-07-30,0
2017-08-06,37
2017-08-13,37
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,36
2017-09-17,0
2017-09-24,0
2017-10-01,36
2017-10-08,59
2017-10-15,37
2017-10-22,0
2017-10-29,0
2017-11-05,36
2017-11-12,36
2017-11-19,36
2017-11-26,36
2017-12-03,37
2017-12-10,37
2017-12-17,38
2017-12-24,61
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,36
2018-01-28,35
2018-02-04,35
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,36
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,36
2018-04-08,0
2018-04-15,35
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,38
2018-06-03,0
2018-06-10,0
2018-06-17,36
2018-06-24,36
2018-07-01,0
2018-07-08,0
2018-07-15,75
2018-07-22,0
2018-07-29,0
2018-08-05,35
2018-08-12,34
2018-08-19,34
2018-08-26,0
2018-09-02,35
2018-09-09,0
2018-09-16,34
2018-09-23,35
2018-09-30,0
2018-10-07,35
2018-10-14,37
2018-10-21,36
2018-10-28,35
2018-11-04,35
2018-11-11,100
2018-11-18,34
2018-11-25,36
2018-12-02,0
2018-12-09,35
2018-12-16,37
2018-12-23,40
2018-12-30,53
2019-01-06,34
2019-01-13,35
2019-01-20,33
2019-01-27,0
2019-02-03,34
2019-02-10,34
2019-02-17,0
2019-02-24,33
2019-03-03,0
2019-03-10,35
2019-03-17,34
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,35
2019-04-28,32
2019-05-05,0
2019-05-12,34
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,37
2019-06-23,0
2019-06-30,0
2019-07-07,34
2019-07-14,0
2019-07-21,74
2019-07-28,35
2019-08-04,0
2019-08-11,32
2019-08-18,0
2019-08-25,33
2019-09-01,31
2019-09-08,31
2019-09-15,0
2019-09-22,0
2019-09-29,31
2019-10-06,32
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,32
2019-11-10,31
2019-11-17,32
2019-11-24,0
2019-12-01,32
2019-12-08,32
2019-12-15,32
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,31
2020-01-26,30
2020-02-02,30
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,28
2020-05-10,0
2020-05-17,30
2020-05-24,30
2020-05-31,29
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,29
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
