Categoría: Todas las categorías

Semana,es vedra: (Bélgica)
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,39
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,36
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,37
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,26
2016-01-10,26
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,27
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,27
2016-06-26,0
2016-07-03,32
2016-07-10,33
2016-07-17,55
2016-07-24,34
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,33
2016-08-28,46
2016-09-04,32
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,30
2016-10-16,0
2016-10-23,30
2016-10-30,0
2016-11-06,29
2016-11-13,0
2016-11-20,28
2016-11-27,28
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,27
2017-01-15,27
2017-01-22,0
2017-01-29,27
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,26
2017-03-19,27
2017-03-26,0
2017-04-02,58
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,26
2017-05-14,28
2017-05-21,0
2017-05-28,0
2017-06-04,27
2017-06-11,27
2017-06-18,0
2017-06-25,28
2017-07-02,30
2017-07-09,30
2017-07-16,32
2017-07-23,30
2017-07-30,29
2017-08-06,28
2017-08-13,29
2017-08-20,28
2017-08-27,27
2017-09-03,54
2017-09-10,27
2017-09-17,54
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,26
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,25
2017-12-10,0
2017-12-17,0
2017-12-24,28
2017-12-31,26
2018-01-07,24
2018-01-14,24
2018-01-21,0
2018-01-28,0
2018-02-04,25
2018-02-11,0
2018-02-18,0
2018-02-25,24
2018-03-04,0
2018-03-11,0
2018-03-18,25
2018-03-25,0
2018-04-01,27
2018-04-08,26
2018-04-15,26
2018-04-22,0
2018-04-29,0
2018-05-06,25
2018-05-13,0
2018-05-20,50
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,26
2018-07-08,27
2018-07-15,28
2018-07-22,28
2018-07-29,27
2018-08-05,26
2018-08-12,53
2018-08-19,26
2018-08-26,26
2018-09-02,0
2018-09-09,38
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,26
2018-10-14,0
2018-10-21,25
2018-10-28,26
2018-11-04,24
2018-11-11,24
2018-11-18,0
2018-11-25,24
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,28
2018-12-30,0
2019-01-06,24
2019-01-13,0
2019-01-20,0
2019-01-27,23
2019-02-03,24
2019-02-10,0
2019-02-17,24
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,48
2019-03-24,0
2019-03-31,24
2019-04-07,25
2019-04-14,0
2019-04-21,25
2019-04-28,0
2019-05-05,23
2019-05-12,0
2019-05-19,23
2019-05-26,23
2019-06-02,33
2019-06-09,23
2019-06-16,23
2019-06-23,0
2019-06-30,25
2019-07-07,41
2019-07-14,26
2019-07-21,28
2019-07-28,26
2019-08-04,39
2019-08-11,100
2019-08-18,26
2019-08-25,24
2019-09-01,0
2019-09-08,0
2019-09-15,32
2019-09-22,0
2019-09-29,22
2019-10-06,22
2019-10-13,45
2019-10-20,23
2019-10-27,23
2019-11-03,0
2019-11-10,22
2019-11-17,22
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,22
2019-12-22,24
2019-12-29,23
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,21
2020-02-02,21
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,20
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,19
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,18
2020-06-14,19
2020-06-21,20
2020-06-28,0
2020-07-05,31
2020-07-12,22
2020-07-19,0
