Categoría: Todas las categorías

Semana,gran via: (Grecia)
2015-08-02,51
2015-08-09,0
2015-08-16,0
2015-08-23,47
2015-08-30,46
2015-09-06,0
2015-09-13,46
2015-09-20,44
2015-09-27,0
2015-10-04,45
2015-10-11,0
2015-10-18,0
2015-10-25,50
2015-11-01,0
2015-11-08,48
2015-11-15,49
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,57
2015-12-27,0
2016-01-03,0
2016-01-10,42
2016-01-17,84
2016-01-24,0
2016-01-31,42
2016-02-07,0
2016-02-14,83
2016-02-21,0
2016-02-28,43
2016-03-06,43
2016-03-13,44
2016-03-20,44
2016-03-27,44
2016-04-03,44
2016-04-10,0
2016-04-17,90
2016-04-24,100
2016-05-01,48
2016-05-08,44
2016-05-15,0
2016-05-22,42
2016-05-29,0
2016-06-05,43
2016-06-12,0
2016-06-19,88
2016-06-26,0
2016-07-03,0
2016-07-10,47
2016-07-17,48
2016-07-24,0
2016-07-31,50
2016-08-07,0
2016-08-14,56
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,46
2016-09-18,68
2016-09-25,0
2016-10-02,46
2016-10-09,0
2016-10-16,0
2016-10-23,48
2016-10-30,95
2016-11-06,0
2016-11-13,47
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,48
2017-01-01,0
2017-01-08,0
2017-01-15,42
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,44
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,43
2017-03-19,0
2017-03-26,0
2017-04-02,44
2017-04-09,98
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,43
2017-05-14,45
2017-05-21,0
2017-05-28,46
2017-06-04,0
2017-06-11,45
2017-06-18,0
2017-06-25,47
2017-07-02,47
2017-07-09,0
2017-07-16,46
2017-07-23,47
2017-07-30,47
2017-08-06,0
2017-08-13,0
2017-08-20,44
2017-08-27,0
2017-09-03,0
2017-09-10,43
2017-09-17,44
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,44
2017-10-29,44
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,45
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,42
2018-01-21,42
2018-01-28,43
2018-02-04,0
2018-02-11,0
2018-02-18,43
2018-02-25,41
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,48
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,43
2018-05-06,40
2018-05-13,42
2018-05-20,0
2018-05-27,42
2018-06-03,0
2018-06-10,77
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,39
2018-07-15,41
2018-07-22,0
2018-07-29,40
2018-08-05,41
2018-08-12,0
2018-08-19,0
2018-08-26,38
2018-09-02,38
2018-09-09,0
2018-09-16,80
2018-09-23,0
2018-09-30,40
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,43
2018-11-04,43
2018-11-11,0
2018-11-18,0
2018-11-25,41
2018-12-02,0
2018-12-09,42
2018-12-16,43
2018-12-23,48
2018-12-30,87
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,54
2019-02-03,0
2019-02-10,40
2019-02-17,41
2019-02-24,82
2019-03-03,44
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,42
2019-04-21,0
2019-04-28,0
2019-05-05,40
2019-05-12,40
2019-05-19,40
2019-05-26,37
2019-06-02,0
2019-06-09,39
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,38
2019-07-21,0
2019-07-28,0
2019-08-04,40
2019-08-11,41
2019-08-18,0
2019-08-25,0
2019-09-01,36
2019-09-08,36
2019-09-15,36
2019-09-22,36
2019-09-29,36
2019-10-06,0
2019-10-13,38
2019-10-20,0
2019-10-27,38
2019-11-03,38
2019-11-10,0
2019-11-17,0
2019-11-24,36
2019-12-01,0
2019-12-08,38
2019-12-15,38
2019-12-22,41
2019-12-29,39
2020-01-05,37
2020-01-12,35
2020-01-19,36
2020-01-26,0
2020-02-02,0
2020-02-09,36
2020-02-16,36
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,36
2020-05-24,0
2020-05-31,34
2020-06-07,35
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
