Categoría: Todas las categorías

Semana,Faro de Favaritx: (Todo el mundo)
2015-08-02,0
2015-08-09,71
2015-08-16,35
2015-08-23,35
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,67
2015-10-04,33
2015-10-11,34
2015-10-18,33
2015-10-25,32
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,35
2016-04-03,0
2016-04-10,0
2016-04-17,34
2016-04-24,34
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,35
2016-06-12,35
2016-06-19,35
2016-06-26,36
2016-07-03,37
2016-07-10,36
2016-07-17,37
2016-07-24,0
2016-07-31,37
2016-08-07,38
2016-08-14,39
2016-08-21,37
2016-08-28,36
2016-09-04,0
2016-09-11,36
2016-09-18,35
2016-09-25,35
2016-10-02,35
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,34
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,33
2016-12-18,0
2016-12-25,36
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,31
2017-03-05,31
2017-03-12,0
2017-03-19,0
2017-03-26,31
2017-04-02,0
2017-04-09,97
2017-04-16,32
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,34
2017-05-28,0
2017-06-04,33
2017-06-11,33
2017-06-18,33
2017-06-25,34
2017-07-02,0
2017-07-09,51
2017-07-16,52
2017-07-23,34
2017-07-30,66
2017-08-06,100
2017-08-13,67
2017-08-20,33
2017-08-27,33
2017-09-03,33
2017-09-10,53
2017-09-17,64
2017-09-24,0
2017-10-01,0
2017-10-08,32
2017-10-15,32
2017-10-22,0
2017-10-29,0
2017-11-05,31
2017-11-12,30
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,30
2018-01-28,0
2018-02-04,0
2018-02-11,30
2018-02-18,59
2018-02-25,0
2018-03-04,0
2018-03-11,30
2018-03-18,0
2018-03-25,31
2018-04-01,30
2018-04-08,0
2018-04-15,30
2018-04-22,30
2018-04-29,30
2018-05-06,30
2018-05-13,0
2018-05-20,30
2018-05-27,46
2018-06-03,0
2018-06-10,29
2018-06-17,30
2018-06-24,30
2018-07-01,60
2018-07-08,0
2018-07-15,31
2018-07-22,46
2018-07-29,61
2018-08-05,39
2018-08-12,60
2018-08-19,31
2018-08-26,59
2018-09-02,39
2018-09-09,88
2018-09-16,87
2018-09-23,44
2018-09-30,29
2018-10-07,30
2018-10-14,59
2018-10-21,0
2018-10-28,0
2018-11-04,29
2018-11-11,0
2018-11-18,0
2018-11-25,0
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,29
2019-02-10,0
2019-02-17,0
2019-02-24,28
2019-03-03,43
2019-03-10,57
2019-03-17,0
2019-03-24,0
2019-03-31,29
2019-04-07,29
2019-04-14,0
2019-04-21,30
2019-04-28,0
2019-05-05,0
2019-05-12,29
2019-05-19,0
2019-05-26,0
2019-06-02,28
2019-06-09,29
2019-06-16,0
2019-06-23,29
2019-06-30,44
2019-07-07,29
2019-07-14,29
2019-07-21,30
2019-07-28,30
2019-08-04,59
2019-08-11,58
2019-08-18,0
2019-08-25,28
2019-09-01,28
2019-09-08,28
2019-09-15,42
2019-09-22,0
2019-09-29,27
2019-10-06,0
2019-10-13,27
2019-10-20,54
2019-10-27,0
2019-11-03,0
2019-11-10,27
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,26
2020-02-16,26
2020-02-23,25
2020-03-01,25
2020-03-08,24
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,24
2020-04-12,0
2020-04-19,0
2020-04-26,23
2020-05-03,0
2020-05-10,24
2020-05-17,0
2020-05-24,0
2020-05-31,23
2020-06-07,24
2020-06-14,48
2020-06-21,25
2020-06-28,25
2020-07-05,50
2020-07-12,25
2020-07-19,36
